file_name,ast_parse_success,taint_source_count,sql_sink_count,cmd_sink_count,xss_sink_count,path_sink_count,ldap_sink_count,xxe_sink_count,weak_crypto_sink_count,sql_sanitizer_count,xss_sanitizer_count,path_sanitizer_count,generic_sanitizer_count,total_sink_count,total_sanitizer_count,sanitizer_to_sink_ratio,has_any_sink,has_any_sanitizer,string_concat_near_sink_count,source_to_sink_line_distance,source_before_sink,variable_alias_hops,method_count,try_catch_count,total_lines,total_chars,import_count,string_literal_count,sqli_tainted_sink_reached,sqli_sanitized_before_sink,cmdi_tainted_sink_reached,cmdi_sanitized_before_sink,pathtraver_tainted_sink_reached,pathtraver_sanitized_before_sink,ldapi_tainted_sink_reached,ldapi_sanitized_before_sink,xpathi_tainted_sink_reached,xpathi_sanitized_before_sink,taint_trace_parse_error,test_name,actual_category,actual_cwe,is_actually_vulnerable
BenchmarkTest00014.java,1,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1,0,0,-1,0,1,2,0,58,2165,6,10,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00014,xss,79,1
BenchmarkTest00015.java,1,5,0,4,3,0,0,0,0,0,0,0,0,7,0,0.0,1,0,0,21,1,1,2,1,79,2846,6,14,0,0,1,0,0,0,0,0,0,0,0,BenchmarkTest00015,cmdi,78,1
BenchmarkTest00016.java,1,6,0,0,6,0,0,0,0,1,2,0,1,6,4,0.667,1,1,0,-1,0,2,2,0,83,3339,6,13,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00016,securecookie,614,0
BenchmarkTest00017.java,1,5,0,3,6,0,0,0,0,1,2,0,1,9,4,0.444,1,1,1,15,1,1,2,1,72,2701,6,11,0,0,1,0,0,0,0,0,0,0,0,BenchmarkTest00017,cmdi,78,1
BenchmarkTest00018.java,1,5,2,1,3,0,0,0,0,0,0,0,0,6,0,0.0,1,0,0,14,1,1,2,1,67,2675,6,9,1,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00018,sqli,89,1
BenchmarkTest00019.java,1,1,0,1,12,2,0,0,4,2,2,0,2,15,6,0.4,1,1,0,31,1,2,2,1,107,4723,6,14,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00019,crypto,327,1
BenchmarkTest00020.java,1,1,1,8,45,2,0,0,5,2,2,0,2,56,6,0.107,1,1,0,40,1,2,2,1,151,7270,6,22,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00020,crypto,327,1
BenchmarkTest00021.java,1,1,0,0,6,0,4,0,0,3,4,0,3,10,10,1.0,1,1,0,-1,0,3,2,2,102,4616,6,17,0,0,0,0,0,0,1,0,0,0,0,BenchmarkTest00021,ldapi,90,1
BenchmarkTest00022.java,1,1,1,2,12,2,0,0,0,2,2,0,2,17,6,0.353,1,1,0,23,1,2,2,1,96,3997,6,14,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00022,hash,328,0
BenchmarkTest00023.java,1,4,1,1,9,0,0,0,0,0,0,0,0,11,0,0.0,1,0,0,50,1,4,2,0,96,3970,6,14,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00023,weakrand,330,1
BenchmarkTest00024.java,1,1,2,1,4,0,0,0,0,2,0,0,0,7,2,0.286,1,1,0,9,1,1,2,1,67,2724,6,9,1,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00024,sqli,89,1
BenchmarkTest00025.java,1,1,0,0,9,0,0,0,0,1,2,0,1,9,4,0.444,1,1,0,-1,0,1,2,1,66,2786,6,10,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00025,sqli,89,1
BenchmarkTest00026.java,1,1,0,0,12,0,0,0,0,2,3,0,2,12,7,0.583,1,1,0,-1,0,1,2,1,74,3116,6,12,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00026,sqli,89,1
BenchmarkTest00027.java,1,1,2,1,3,0,0,0,0,0,0,0,0,6,0,0.0,1,0,0,8,1,1,2,1,60,2363,6,8,1,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00027,sqli,89,1
BenchmarkTest00028.java,1,2,0,0,8,3,0,0,0,1,2,0,1,11,4,0.364,1,1,0,8,1,4,2,2,77,2813,6,9,0,0,0,0,1,0,0,0,0,0,0,BenchmarkTest00028,pathtraver,22,1
BenchmarkTest00029.java,1,2,1,2,12,2,0,0,0,2,2,0,2,17,6,0.353,1,1,0,31,1,2,2,1,104,4434,6,16,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00029,hash,328,1
BenchmarkTest00030.java,1,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0.0,1,0,0,-1,0,1,2,0,55,2010,6,9,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00030,xss,79,1
BenchmarkTest00031.java,1,2,0,0,3,0,0,0,0,0,1,0,0,3,1,0.333,1,1,0,-1,0,1,2,0,60,2281,6,8,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00031,trustbound,501,1
BenchmarkTest00032.java,1,2,2,2,6,0,0,0,0,1,2,0,1,10,4,0.4,1,1,2,10,1,1,2,1,68,2715,6,11,1,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00032,sqli,89,1
BenchmarkTest00033.java,1,2,0,0,12,0,0,0,0,2,3,0,2,12,7,0.583,1,1,0,-1,0,1,2,1,78,3262,6,12,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00033,sqli,89,1
BenchmarkTest00034.java,1,2,1,1,4,0,0,0,0,0,0,0,0,6,0,0.0,1,0,0,12,1,1,2,1,64,2536,6,8,1,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00034,sqli,89,1
BenchmarkTest00035.java,1,3,0,1,12,2,0,0,4,2,2,0,2,15,6,0.4,1,1,0,44,1,6,2,1,122,5310,6,16,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00035,crypto,327,1
BenchmarkTest00036.java,1,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0.0,1,0,0,-1,0,6,2,0,68,2495,6,7,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00036,xss,79,1
BenchmarkTest00037.java,1,3,2,1,4,0,0,0,0,2,0,0,0,7,2,0.286,1,1,0,21,1,5,2,1,81,3267,6,9,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00037,sqli,89,1
BenchmarkTest00038.java,1,3,0,0,12,0,0,0,0,2,4,0,2,12,8,0.667,1,1,0,-1,0,5,3,2,97,4221,6,13,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00038,sqli,89,1
BenchmarkTest00039.java,1,3,0,0,12,0,0,0,0,2,4,0,2,12,8,0.667,1,1,0,-1,0,5,2,1,81,3317,6,10,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00039,sqli,89,1
BenchmarkTest00040.java,1,0,0,0,9,1,0,0,0,1,1,0,1,10,3,0.3,1,1,0,-1,0,1,2,0,65,2556,6,9,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00040,pathtraver,22,1
BenchmarkTest00041.java,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0.0,1,0,0,-1,0,2,2,0,56,2079,6,7,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00041,xss,79,1
BenchmarkTest00042.java,1,2,1,2,11,0,0,0,2,0,0,0,0,14,0,0.0,1,0,0,34,1,4,2,1,103,4428,6,16,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00042,weakrand,330,0
BenchmarkTest00043.java,1,0,2,1,3,0,0,0,0,0,0,0,0,6,0,0.0,1,0,0,-1,0,1,2,1,62,2522,6,8,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00043,sqli,89,1
BenchmarkTest00044.java,1,2,0,0,6,0,4,0,0,3,4,0,3,10,10,1.0,1,1,0,-1,0,3,2,2,103,4607,6,16,0,0,0,0,0,0,1,0,0,0,0,BenchmarkTest00044,ldapi,90,1
BenchmarkTest00045.java,1,2,0,0,6,6,0,0,0,1,2,0,1,12,4,0.333,1,1,0,14,1,1,2,1,72,2945,6,8,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00045,pathtraver,22,1
BenchmarkTest00046.java,1,2,1,2,12,2,0,0,2,2,2,0,2,17,6,0.353,1,1,0,25,1,2,2,1,98,4078,6,14,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00046,hash,328,1
BenchmarkTest00047.java,1,2,0,0,4,0,0,0,0,0,0,0,0,4,0,0.0,1,0,0,-1,0,1,2,0,75,2949,6,15,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00047,xss,79,1
BenchmarkTest00048.java,1,2,0,0,5,0,0,0,0,0,0,0,0,5,0,0.0,1,0,0,-1,0,1,2,0,74,2922,6,13,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00048,xss,79,1
BenchmarkTest00049.java,1,2,0,0,5,0,0,0,0,0,0,0,0,5,0,0.0,1,0,0,-1,0,1,2,0,74,2930,6,14,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00049,xss,79,1
BenchmarkTest00050.java,1,0,1,8,45,2,0,0,5,2,2,0,2,56,6,0.107,1,1,0,-1,0,2,2,1,152,7368,6,21,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00050,crypto,327,1
BenchmarkTest00051.java,1,0,0,4,3,0,0,0,0,0,0,0,0,7,0,0.0,1,0,0,-1,0,1,2,1,71,2562,6,14,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00051,cmdi,78,0
BenchmarkTest00052.java,1,0,2,1,4,0,0,0,0,0,0,0,0,7,0,0.0,1,0,0,-1,0,1,2,1,67,2751,6,7,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00052,sqli,89,0
BenchmarkTest00053.java,1,3,1,7,40,2,0,0,4,2,2,0,2,50,6,0.12,1,1,0,71,1,3,2,1,173,8160,6,27,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00053,crypto,327,1
BenchmarkTest00054.java,1,3,1,7,40,2,0,0,0,2,2,0,2,50,6,0.12,1,1,0,68,1,3,2,1,169,7931,6,25,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00054,crypto,327,0
BenchmarkTest00055.java,1,3,1,8,45,2,0,0,5,2,2,0,2,56,6,0.107,1,1,0,64,1,3,2,1,172,8281,6,27,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00055,crypto,327,1
BenchmarkTest00056.java,1,3,1,8,45,2,0,0,5,2,2,0,2,56,6,0.107,1,1,0,74,1,2,2,1,182,8650,6,30,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00056,crypto,327,1
BenchmarkTest00057.java,1,3,0,1,12,2,0,0,5,2,2,0,2,15,6,0.4,1,1,0,69,1,4,2,1,143,6370,6,20,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00057,crypto,327,1
BenchmarkTest00058.java,1,3,0,1,12,2,0,0,0,2,2,0,2,15,6,0.4,1,1,0,57,1,3,2,1,130,5709,6,20,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00058,crypto,327,0
BenchmarkTest00059.java,1,3,0,1,12,2,0,0,1,2,2,0,2,15,6,0.4,1,1,0,67,1,2,2,1,140,6326,6,22,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00059,crypto,327,0
BenchmarkTest00060.java,1,3,0,0,9,2,0,0,0,1,1,0,1,11,3,0.273,1,1,0,35,1,1,2,0,93,3857,6,15,0,0,0,0,1,0,0,0,0,0,0,BenchmarkTest00060,pathtraver,22,1
BenchmarkTest00061.java,1,3,0,0,9,1,0,0,0,1,1,0,1,10,3,0.3,1,1,0,34,1,1,2,0,91,3762,6,16,0,0,0,0,1,0,0,0,0,0,0,BenchmarkTest00061,pathtraver,22,1
BenchmarkTest00062.java,1,3,0,0,8,5,0,0,0,3,4,0,3,13,10,0.769,1,1,0,33,1,4,2,2,112,4810,6,22,0,0,0,0,1,0,0,0,0,0,0,BenchmarkTest00062,pathtraver,22,1
BenchmarkTest00063.java,1,3,0,0,8,5,0,0,0,3,4,0,3,13,10,0.769,1,1,0,33,1,5,2,2,112,4577,6,16,0,0,0,0,1,0,0,0,0,0,0,BenchmarkTest00063,pathtraver,22,0
BenchmarkTest00064.java,1,3,0,0,8,3,0,0,0,1,2,0,1,11,4,0.364,1,1,0,33,1,5,2,2,99,3841,6,15,0,0,0,0,1,0,0,0,0,0,0,BenchmarkTest00064,pathtraver,22,0
BenchmarkTest00065.java,1,3,0,0,11,1,0,0,0,3,5,0,3,12,11,0.917,1,1,0,38,1,3,2,2,112,4650,6,16,0,0,0,0,1,0,0,0,0,0,0,BenchmarkTest00065,pathtraver,22,1
BenchmarkTest00066.java,1,6,1,1,9,0,0,0,0,0,0,0,0,11,0,0.0,1,0,0,79,1,6,2,0,122,5158,6,20,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00066,weakrand,330,1
BenchmarkTest00067.java,1,6,1,1,9,0,0,0,0,0,0,0,0,11,0,0.0,1,0,0,95,1,5,2,0,138,6353,6,26,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00067,weakrand,330,1
BenchmarkTest00068.java,1,6,1,1,9,0,0,0,0,0,0,0,0,11,0,0.0,1,0,0,79,1,5,2,0,122,5138,6,20,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00068,weakrand,330,1
BenchmarkTest00069.java,1,3,1,3,14,2,0,0,0,2,2,0,2,20,6,0.3,1,1,0,60,1,3,2,1,135,5841,6,23,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00069,hash,328,0
BenchmarkTest00070.java,1,3,1,3,14,2,0,0,2,2,2,0,2,20,6,0.3,1,1,0,52,1,3,2,1,127,5556,6,22,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00070,hash,328,1
BenchmarkTest00071.java,1,3,1,3,14,2,0,0,2,2,2,0,2,20,6,0.3,1,1,0,52,1,4,2,1,127,5578,6,22,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00071,hash,328,1
BenchmarkTest00072.java,1,3,1,3,14,2,0,0,0,2,2,0,2,20,6,0.3,1,1,0,50,1,2,2,1,125,5564,6,21,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00072,hash,328,0
BenchmarkTest00073.java,1,3,1,2,12,2,0,0,2,2,2,0,2,17,6,0.353,1,1,0,66,1,4,2,1,136,5564,6,22,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00073,hash,328,1
BenchmarkTest00074.java,1,3,1,2,12,2,0,0,0,2,2,0,2,17,6,0.353,1,1,0,56,1,2,2,1,126,5698,6,28,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00074,hash,328,1
BenchmarkTest00075.java,1,3,1,2,12,2,0,0,0,2,2,0,2,17,6,0.353,1,1,0,56,1,3,2,1,126,5460,6,22,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00075,hash,328,0
BenchmarkTest00076.java,1,3,1,2,12,2,0,0,0,2,2,0,2,17,6,0.353,1,1,0,70,1,4,2,1,140,5836,6,24,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00076,hash,328,0
BenchmarkTest00077.java,1,3,0,4,3,0,0,0,0,0,0,0,0,7,0,0.0,1,0,0,58,1,3,2,1,110,4057,6,21,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00077,cmdi,78,1
BenchmarkTest00078.java,1,6,1,1,9,0,0,0,0,0,0,0,0,11,0,0.0,1,0,0,81,1,4,2,0,124,5304,6,20,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00078,weakrand,330,1
BenchmarkTest00079.java,1,6,1,1,9,0,0,0,0,0,0,0,0,11,0,0.0,1,0,0,79,1,4,2,0,122,5384,6,26,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00079,weakrand,330,1
BenchmarkTest00080.java,1,6,1,1,9,0,0,0,0,0,0,0,0,11,0,0.0,1,0,0,74,1,4,2,0,117,5034,6,19,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00080,weakrand,330,1
BenchmarkTest00081.java,1,5,1,1,9,0,0,0,0,0,0,0,0,11,0,0.0,1,0,0,74,1,4,2,0,117,4963,6,19,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00081,weakrand,330,1
BenchmarkTest00082.java,1,5,1,1,9,0,0,0,0,0,0,0,0,11,0,0.0,1,0,0,74,1,4,2,0,117,4949,6,20,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00082,weakrand,330,1
BenchmarkTest00083.java,1,5,1,1,9,0,0,0,0,0,0,0,0,11,0,0.0,1,0,0,78,1,6,2,0,121,5038,6,20,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00083,weakrand,330,1
BenchmarkTest00084.java,1,5,1,1,9,0,0,0,0,0,0,0,0,11,0,0.0,1,0,0,75,1,4,2,0,118,4980,6,19,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00084,weakrand,330,1
BenchmarkTest00085.java,1,5,1,1,9,0,0,0,0,0,0,0,0,11,0,0.0,1,0,0,79,1,4,2,0,122,5231,6,26,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00085,weakrand,330,1
BenchmarkTest00086.java,1,5,1,1,9,0,0,0,0,0,0,0,0,11,0,0.0,1,0,0,79,1,6,2,0,122,5018,6,20,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00086,weakrand,330,1
BenchmarkTest00087.java,1,4,0,0,6,0,0,0,0,1,2,0,1,6,4,0.667,1,1,0,-1,0,2,2,0,104,4367,6,18,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00087,securecookie,614,1
BenchmarkTest00088.java,1,4,0,0,6,0,0,0,0,2,4,0,2,6,8,1.333,1,1,0,-1,0,2,2,0,97,4091,6,17,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00088,securecookie,614,0
BenchmarkTest00089.java,1,4,0,0,6,0,0,0,0,1,2,0,1,6,4,0.667,1,1,0,-1,0,3,2,0,102,4209,6,18,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00089,securecookie,614,0
BenchmarkTest00090.java,1,3,0,3,6,0,0,0,0,1,2,0,1,9,4,0.444,1,1,1,38,1,3,2,1,91,3578,6,16,0,0,1,0,0,0,0,0,0,0,0,BenchmarkTest00090,cmdi,78,0
BenchmarkTest00091.java,1,3,0,3,6,0,0,0,0,1,2,0,1,9,4,0.444,1,1,0,33,1,2,2,1,86,3418,6,11,0,0,1,0,0,0,0,0,0,0,0,BenchmarkTest00091,cmdi,78,1
BenchmarkTest00092.java,1,3,0,3,6,0,0,0,0,1,2,0,1,9,4,0.444,1,1,0,52,1,3,2,1,105,3959,6,14,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00092,cmdi,78,1
BenchmarkTest00093.java,1,3,0,3,6,0,0,0,0,1,2,0,1,9,4,0.444,1,1,1,44,1,1,2,1,97,3808,6,19,0,0,1,0,0,0,0,0,0,0,0,BenchmarkTest00093,cmdi,78,0
BenchmarkTest00094.java,1,5,1,2,11,0,0,0,2,0,0,0,0,14,0,0.0,1,0,0,84,1,4,2,1,131,5863,6,29,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00094,weakrand,330,0
BenchmarkTest00095.java,1,5,1,2,11,0,0,0,2,0,0,0,0,14,0,0.0,1,0,0,81,1,4,2,1,128,5791,6,28,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00095,weakrand,330,0
BenchmarkTest00096.java,1,5,1,2,11,0,0,0,2,0,0,0,0,14,0,0.0,1,0,0,80,1,5,2,1,127,5489,6,22,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00096,weakrand,330,0
BenchmarkTest00097.java,1,3,0,0,3,0,0,0,0,0,1,0,0,3,1,0.333,1,1,0,-1,0,2,2,0,82,3307,6,14,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00097,trustbound,501,0
BenchmarkTest00098.java,1,3,0,0,3,0,0,0,0,0,3,0,1,3,4,1.333,1,1,0,-1,0,1,2,0,77,3202,6,13,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00098,trustbound,501,1
BenchmarkTest00099.java,1,3,0,0,3,0,0,0,0,0,1,0,0,3,1,0.333,1,1,0,-1,0,1,2,0,87,3524,6,16,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00099,trustbound,501,0
BenchmarkTest00100.java,1,3,2,1,4,0,0,0,0,2,0,0,0,7,2,0.286,1,1,0,38,1,1,2,1,93,4127,6,21,1,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00100,sqli,89,1
BenchmarkTest00101.java,1,3,2,1,4,0,0,0,0,2,0,0,0,7,2,0.286,1,1,0,43,1,1,2,1,94,3886,6,19,1,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00101,sqli,89,1
BenchmarkTest00102.java,1,3,0,0,12,0,0,0,0,2,4,0,2,12,8,0.667,1,1,0,-1,0,1,2,1,90,3926,6,15,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00102,sqli,89,1
BenchmarkTest00103.java,1,3,0,0,12,0,0,0,0,2,4,0,2,12,8,0.667,1,1,0,-1,0,2,2,1,94,3983,6,16,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00103,sqli,89,1
BenchmarkTest00104.java,1,3,0,0,6,0,0,0,0,1,2,0,1,6,4,0.667,1,1,0,-1,0,3,2,1,89,3766,6,17,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00104,sqli,89,0
BenchmarkTest00105.java,1,3,2,1,4,0,0,0,0,0,0,0,0,7,0,0.0,1,0,0,37,1,2,2,1,87,3569,6,14,1,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00105,sqli,89,0
BenchmarkTest00106.java,1,3,1,1,4,0,0,0,0,0,0,0,0,6,0,0.0,1,0,0,42,1,1,2,1,91,3747,6,16,1,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00106,sqli,89,1
BenchmarkTest00107.java,1,3,1,1,4,0,0,0,0,0,0,0,0,6,0,0.0,1,0,0,53,1,2,2,1,102,4775,6,20,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00107,sqli,89,0
BenchmarkTest00108.java,1,3,1,1,4,0,0,0,0,0,0,0,0,6,0,0.0,1,0,0,51,1,3,2,1,100,3909,6,16,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00108,sqli,89,1
BenchmarkTest00109.java,1,3,1,1,4,0,0,0,0,0,0,0,0,6,0,0.0,1,0,0,39,1,1,2,1,88,3710,6,16,1,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00109,sqli,89,1
BenchmarkTest00110.java,1,3,1,1,4,0,0,0,0,0,0,0,0,6,0,0.0,1,0,0,53,1,2,2,1,102,4772,6,22,0,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00110,sqli,89,0
BenchmarkTest00111.java,1,3,2,1,3,0,0,0,0,0,0,0,0,6,0,0.0,1,0,0,42,1,1,2,1,91,3720,6,16,1,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00111,sqli,89,1
BenchmarkTest00112.java,1,3,2,1,3,0,0,0,0,0,0,0,0,6,0,0.0,1,0,0,34,1,1,2,1,83,3515,6,13,1,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00112,sqli,89,1
BenchmarkTest00113.java,1,3,2,1,3,0,0,0,0,0,0,0,0,6,0,0.0,1,0,0,38,1,1,2,1,87,3844,6,21,1,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00113,sqli,89,0
BenchmarkTest00114.java,1,3,2,1,3,0,0,0,0,0,0,0,0,6,0,0.0,1,0,0,37,1,3,2,1,86,3571,6,14,1,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00114,sqli,89,0
BenchmarkTest00115.java,1,3,2,1,3,0,0,0,0,0,0,0,0,6,0,0.0,1,0,0,37,1,1,2,1,86,3805,6,22,1,0,0,0,0,0,0,0,0,0,0,BenchmarkTest00115,sqli,89,1
